179,35,E,5,Yes
180,83,D,5,No
181,122,E,5,Yes
182,61,I,6,Yes
183,51,E,6,Yes
184,79,E,6,Yes
185,46,E,6,Yes
186,68,E,7,Yes
187,5,E,8,Yes
188,83,D,8,No
189,128,E,8,Yes
190,52,E,8,Yes
191,41,E,8,Yes
192,37,E,9,Yes
193,67,E,9,Yes
194,101,E,9,No
195,71,E,9,Yes
196,121,E,9,Yes
197,16,E,10,Yes
198,129,E,10,Yes
199,133,E,10,Yes
200,59,E,10,Yes
201,115,E,10,Yes
202,8,E,10,Yes
203,61,E,10,Yes
204,18,E,11,Yes
205,118,E,11,Yes
206,98,E,11,Yes
207,101,E,12,No
208,102,E,12,No
209,91,I,12,Yes
210,38,E,12,No
211,122,I,12,Yes
212,107,E,12,Yes
213,35,I,12,Yes
214,127,E,12,Yes
215,12,E,12,No
216,74,E,12,No
217,17,E,12,Yes
218,109,E,12,No
219,93,I,12,Yes
220,52,I,13,Yes
221,39,I,13,Yes
222,47,E,13,Yes
223,99,E,13,No
224,83,I,13,Yes
225,22,E,13,Yes
226,74,E,13,Yes
227,51,I,13,Yes
228,92,E,13,Yes
229,71,I,13,Yes
230,40,E,14,Yes
231,62,E,14,No
232,117,E,14,No
233,46,I,14,Yes
234,64,E,14,No
235,53,E,14,Yes
236,4,E,14,Yes
237,31,E,14,Yes
238,76,E,14,Yes
239,26,E,14,Yes
240,115,I,14,Yes
241,106,I,14,Yes
242,28,E,14,Yes
243,124,E,14,Yes
244,50,E,14,Yes
245,37,I,14,Yes
246,39,E,14,Yes
247,79,F,14,Yes
248,132,E,15,No
249,54,E,15,No
250,109,E,15,No
251,57,E,15,No
252,12,E,15,Yes
253,16,I,15,Yes
254,41,I,15,Yes
255,70,E,15,No
256,125,E,15,No
257,69,E,15,Yes
258,121,I,15,Yes
259,125,I,16,Yes
260,102,E,16,No
261,66,E,16,Yes
262,6,E,16,No
263,109,E,16,Yes
264,130,I,16,Yes
265,67,I,16,Yes
266,33,E,16,No
267,20,E,16,Yes
268,45,E,16,Yes
269,108,E,16,Yes
270,7,E,16,Yes
271,101,I,16,Yes
272,129,I,16,Yes
273,94,I,16,Yes
274,77,E,16,Yes
275,23,I,17,Yes
276,27,E,17,Yes
277,132,E,17,Yes
278,101,E,17,No
279,29,E,17,Yes
280,22,I,17,Yes
281,58,E,17,Yes
282,59,I,17,Yes
283,5,I,18,Yes
284,89,E,18,Yes
285,10,E,18,No
286,21,E,18,Yes
287,106,E,18,Yes
288,90,I,18,No
289,107,I,18,Yes
290,101,E,19,Yes
291,24,E,19,Yes
292,73,E,19,No
293,99,E,19,Yes
294,33,I,19,Yes
295,127,I,19,Yes
296,30,E,19,Yes
297,81,I,19,Yes
298,25,E,19,No
299,48,K,19,No
300,38,E,19,Yes
301,9,I,19,Yes
302,11,I,19,No
303,57,E,19,Yes
304,102,E,19,No
305,126,E,20,Yes
306,4,I,20,Yes
307,124,I,20,Yes
308,118,I,20,Yes
309,78,E,20,Yes
310,13,I,20,Yes
311,97,E,20,Yes
312,109,I,20,Yes
313,18,I,20,Yes
314,95,E,20,Yes
315,53,I,20,Yes
316,6,E,20,Yes
317,35,F,20,Yes
318,90,I,20,Yes
319,110,E,20,Yes
320,131,A,20,No
321,114,E,20,Yes
322,48,E,20,Yes
323,113,E,20,No
324,120,E,20,No
325,76,I,21,Yes
326,103,E,21,Yes
327,46,F,21,Yes
328,10,E,21,Yes
329,79,I,21,Yes
330,38,I,21,Yes
331,42,E,21,Yes
332,23,E,21,Yes
333,94,E,21,Yes
334,3,E,21,Yes
335,28,I,21,Yes
336,119,E,21,Yes
337,117,E,21,Yes
338,9,E,21,Yes
339,125,E,21,Yes
340,19,E,21,Yes
341,113,E,21,No
342,8,I,21,Yes
343,62,E,22,Yes
344,98,I,22,No
345,52,F,22,Yes
346,126,I,22,Yes
347,130,E,22,No
348,57,I,22,Yes
349,68,I,22,Yes
350,40,I,22,Yes
351,11,I,22,Yes
352,133,I,22,Yes
353,64,I,22,Yes
354,25,E,22,No
355,86,E,23,No
356,66,I,23,Yes
357,31,I,23,Yes
358,42,I,23,Yes
359,92,I,23,Yes
360,132,I,23,Yes
361,62,I,23,Yes
362,54,I,23,Yes
363,85,E,23,Yes
364,12,I,23,Yes
365,26,I,23,Yes
366,113,E,23,Yes
367,108,I,23,Yes
368,74,I,24,Yes
369,34,E,24,Yes
370,96,I,24,Yes
371,69,I,24,Yes
372,64,E,24,Yes
373,55,I,24,No
374,123,I,24,Yes
375,58,I,24,Yes
376,91,E,24,No
377,29,I,24,Yes
378,61,F,24,Yes
379,121,F,24,Yes
380,50,I,25,Yes
381,47,I,25,Yes
382,45,I,25,Yes
383,35,H,25,No
384,27,I,25,Yes
385,102,E,26,Yes
386,131,E,26,Yes
387,111,I,26,Yes
388,93,E,26,Yes
389,2,I,26,Yes
390,82,I,26,Yes
391,33,E,26,Yes
392,117,I,26,Yes
393,100,I,27,No
394,25,E,27,Yes
395,80,E,27,Yes
396,123,E,27,No
397,83,E,27,Yes
398,7,I,27,Yes
399,90,E,27,Yes
400,105,E,28,Yes
401,39,F,28,Yes
402,30,I,28,Yes
403,114,I,28,Yes
404,98,I,28,Yes
405,67,F,28,Yes
406,68,F,28,Yes
407,103,I,28,Yes
408,87,I,29,Yes
409,6,I,29,Yes
410,123,E,29,Yes
411,59,D,29,Yes
412,107,F,29,Yes
413,92,D,29,No
414,41,F,29,Yes
415,21,I,29,Yes
416,49,A,29,No
417,25,I,29,Yes
418,81,E,29,Yes
419,130,E,29,Yes
420,44,E,30,No
421,70,E,30,Yes
422,100,E,30,No
423,109,F,30,Yes
424,48,I,31,Yes
425,34,I,31,Yes
426,88,E,31,Yes
427,52,K,31,No
428,19,I,31,Yes
429,120,I,31,Yes
430,102,I,32,Yes
431,99,I,32,Yes
432,77,I,32,Yes
433,44,E,32,Yes
434,89,I,32,Yes
435,82,E,32,No
436,120,E,32,Yes
437,20,I,33,Yes
438,3,I,33,Yes
439,24,I,33,Yes
440,113,I,33,Yes
441,100,E,33,Yes
442,86,I,33,Yes
443,32,E,34,No
444,111,E,34,No
445,8,F,34,No
446,100,I,34,Yes
447,71,F,34,Yes
448,13,E,34,Yes
449,54,E,34,Yes
450,88,I,34,Yes
451,91,H,35,No
452,66,F,35,Yes
453,82,E,35,Yes
454,10,I,35,Yes
455,86,E,35,No
456,95,I,36,Yes
457,37,F,36,Yes
458,2,E,36,No
459,85,I,37,Yes
460,73,I,37,No
